Mata_Uang,Usia,Gender,Plan,Term,PPP,100_Ribu,150_Ribu,200_Ribu,250_Ribu,300_Ribu,350_Ribu,500_Ribu,750_Ribu,1_Juta,5_Juta
IDR,1,WANITA,Flexi Amanah,10,10,-,-,-,-,-,-,-,-,-,-
IDR,1,WANITA,Flexi Berkah,109,5,15.0,20.1,26.7,33.4,40.1,46.8,66.9,94.0,125.3,626.5
IDR,1,WANITA,Flexi Berkah,,10,7.8,10.8,14.1,17.6,19.2,21.9,31.3,47.0,62.6,293.5
IDR,1,WANITA,Flexi Berkah,,15,5.5,8.2,10.8,12.3,14.8,17.3,21.9,32.9,43.8,205.5
IDR,1,WANITA,Flexi Cermat,15,5,130.7,196.0,261.4,326.7,392.1,457.4,653.5,980.2,1,306.9,6,534.5
IDR,1,WANITA,Flexi Cermat,,10,69.3,104.0,138.6,173.3,207.9,242.6,346.5,519.8,693.0,3,465.0
IDR,1,WANITA,Flexi Cermat,25,5,80.8,121.1,161.5,201.9,242.3,282.7,403.8,605.7,753.8,3,769.0
IDR,1,WANITA,Flexi Cermat,,10,44.1,66.2,82.7,103.4,124.1,144.8,206.9,310.3,413.7,1,930.5
IDR,1,WANITA,Flexi Cermat,,15,30.3,45.5,60.7,75.0,85.4,99.6,142.3,213.4,284.5,1,327.5
IDR,1,WANITA,Flexi Cermat,35,5,47.0,70.4,88.1,110.1,132.1,154.1,220.2,330.2,440.3,2,054.5
IDR,1,WANITA,Flexi Cermat,,10,25.7,38.5,51.4,64.2,75.0,84.3,120.4,180.6,240.8,1,124.0
IDR,1,WANITA,Flexi Cermat,,15,18.5,24.6,32.8,41.1,49.3,57.5,77.0,115.5,154.0,718.5
USD,1,WANITA,Flexi Amanah,YRT,1,-,-,-,-,-,-,-,-,-,-
USD,1,WANITA,Flexi Amanah,5,5,-,-,-,-,-,-,-,-,-,-
USD,1,WANITA,Flexi Amanah,10,10,-,-,-,-,-,-,-,-,-,-
USD,1,WANITA,Flexi Berkah,109,5,6334,8909,11878,14848,17817,20787,29695,44543,59390,277150
USD,1,WANITA,Flexi Berkah,,10,3093,4640,6186,7500,8700,10150,14500,21750,29000,135300
USD,1,WANITA,Flexi Berkah,,15,2164,3246,4328,5410,6492,7500,10145,15218,20290,94700
USD,1,WANITA,Flexi Cermat,15,5,16619,24929,33238,41548,49857,58167,83095,124643,166190,830950
USD,1,WANITA,Flexi Cermat,,10,8556,12834,17112,21390,25668,29946,42780,64170,85560,427800
USD,1,WANITA,Flexi Cermat,25,5,11786,17679,23572,29465,35358,41251,58930,82500,110000,550000
USD,1,WANITA,Flexi Cermat,,10,6529,9182,12242,15303,18363,21424,30605,45908,61210,285650
USD,1,WANITA,Flexi Cermat,,15,4118,6177,7722,9653,11583,13514,19305,28958,38610,180200
USD,1,WANITA,Flexi Cermat,35,5,8318,12477,16636,20795,24954,29113,41590,62385,77630,388150
USD,1,WANITA,Flexi Cermat,,10,4253,6380,7974,9968,11961,13955,19935,29903,39870,186050
USD,1,WANITA,Flexi Cermat,,15,2873,4310,5746,7183,8079,9426,13465,20198,26930,125700
IDR,2,PRIA,Flexi Amanah,YRT,1,-,-,-,-,-,-,-,-,-,-
IDR,2,PRIA,Flexi Amanah,5,5,-,-,-,-,-,-,-,-,-,-
IDR,2,PRIA,Flexi Amanah,10,10,-,-,-,-,-,-,-,-,-,-
