Mata_Uang,Usia,Gender,Plan,Term,PPP,100_Ribu,150_Ribu,200_Ribu,250_Ribu,300_Ribu,350_Ribu,500_Ribu,750_Ribu,1_Juta,5_Juta
IDR,41,WANITA,Flexi Cermat,,10,75.4,113.0,150.7,188.4,226.1,263.8,376.8,565.2,753.6,3,768.0
IDR,41,WANITA,Flexi Cermat,25,5,84.2,126.3,168.4,210.5,252.5,294.6,420.9,631.4,785.7,3,928.5
IDR,41,WANITA,Flexi Cermat,,10,45.8,68.6,85.8,107.3,128.7,150.2,214.5,321.8,429.0,2,002.0
IDR,41,WANITA,Flexi Cermat,,15,33.0,49.5,66.0,77.3,92.8,108.3,154.7,232.0,309.3,1,443.5
IDR,41,WANITA,Flexi Cermat,35,5,51.3,75.0,96.2,120.3,144.3,168.4,240.5,360.8,481.0,2,244.5
IDR,41,WANITA,Flexi Cermat,,10,28.3,42.5,56.6,70.8,79.7,92.9,132.8,199.1,265.5,1,239.0
IDR,41,WANITA,Flexi Cermat,,15,20.3,30.5,40.7,50.9,61.0,71.2,95.4,143.0,190.7,889.5
USD,41,WANITA,Flexi Amanah,YRT,1,-,480,640,800,960,1120,1600,2400,3200,16000
USD,41,WANITA,Flexi Amanah,5,5,-,557,742,928,1113,1299,1855,2783,3710,18550
USD,41,WANITA,Flexi Amanah,10,10,442,663,884,1105,1326,1547,2210,3315,4420,22100
USD,41,WANITA,Flexi Berkah,69,5,13431,20147,26862,33578,40293,47009,67155,94020,125360,626800
USD,41,WANITA,Flexi Berkah,,10,7462,10493,13990,17488,20985,24483,34975,52463,69950,326450
USD,41,WANITA,Flexi Berkah,,15,4966,7449,9312,11640,13968,16296,23280,34920,46560,217300
USD,41,WANITA,Flexi Cermat,15,5,17064,25596,34128,42660,51192,59724,85320,127980,170640,853200
USD,41,WANITA,Flexi Cermat,,10,8854,13281,17708,22135,26562,30989,44270,66405,88540,442700
USD,41,WANITA,Flexi Cermat,25,5,12341,18512,24682,30853,37023,43194,61705,86393,115190,575950
USD,41,WANITA,Flexi Cermat,,10,6818,9588,12784,15980,19176,22372,31960,47940,63920,298250
USD,41,WANITA,Flexi Cermat,,15,4346,6519,8148,10185,12222,14259,20370,30555,40740,190100
USD,41,WANITA,Flexi Cermat,35,5,9254,13881,18508,23135,27762,32389,46270,69405,86370,431850
USD,41,WANITA,Flexi Cermat,,10,4748,7122,8902,11128,13353,15579,22255,33383,44510,207750
USD,41,WANITA,Flexi Cermat,,15,3287,4931,6574,7705,9246,10787,15410,23115,30820,143800
IDR,42,PRIA,Flexi Amanah,YRT,1,4.9,7.4,9.9,12.3,14.8,17.3,24.7,37.0,49.3,246.5
IDR,42,PRIA,Flexi Amanah,5,5,5.6,8.4,11.2,14.0,16.8,19.6,28.0,42.0,56.0,280.0
IDR,42,PRIA,Flexi Amanah,10,10,6.3,9.5,12.6,15.8,18.9,22.1,31.5,47.3,63.0,315.0
IDR,42,PRIA,Flexi Berkah,68,5,64.0,89.9,119.9,149.9,179.9,209.9,299.8,449.7,599.6,2,798.0
IDR,42,PRIA,Flexi Berkah,,10,33.3,50.0,66.6,78.1,93.7,109.3,156.2,234.2,312.3,1,457.5
IDR,42,PRIA,Flexi Berkah,,15,25.8,38.7,51.6,64.5,75.0,84.7,121.0,181.5,242.0,1,129.0
IDR,42,PRIA,Flexi Cermat,15,5,144.6,216.9,289.2,361.5,433.8,506.1,723.0,1,084.5,1,446.0,7,230.0
IDR,42,PRIA,Flexi Cermat,,10,78.3,117.5,156.6,195.8,234.9,274.1,391.6,587.3,783.1,3,915.5
IDR,42,PRIA,Flexi Cermat,25,5,87.4,131.0,174.7,218.4,262.1,305.8,436.8,655.2,815.4,4,077.0
IDR,42,PRIA,Flexi Cermat,,10,48.4,72.7,90.8,113.5,136.2,158.9,227.1,340.6,454.1,2,119.5
IDR,42,PRIA,Flexi Cermat,,15,35.4,53.1,70.8,83.0,99.6,116.2,166.0,248.9,331.9,1,549.0
IDR,42,PRIA,Flexi Cermat,35,5,58.0,81.5,108.7,135.8,163.0,190.2,271.7,407.5,543.3,2,535.5
IDR,42,PRIA,Flexi Cermat,,10,30.3,45.5,60.6,75.0,85.2,99.4,142.1,213.1,284.1,1,326.0
IDR,42,PRIA,Flexi Cermat,,15,22.2,33.3,44.4,55.5,66.6,75.0,104.1,156.1,208.1,971.0
USD,42,PRIA,Flexi Amanah,YRT,1,493,740,986,1233,1479,1726,2465,3698,4930,24650
USD,42,PRIA,Flexi Amanah,5,5,560,840,1120,1400,1680,1960,2800,4200,5600,28000
USD,42,PRIA,Flexi Amanah,10,10,630,945,1260,1575,1890,2205,3150,4725,6300,31500
USD,42,PRIA,Flexi Berkah,68,5,14459,21689,28918,36148,43377,50607,70000,101213,134950,674750
USD,42,PRIA,Flexi Berkah,,10,7530,11295,15060,18825,22590,26355,37650,56475,70280,351400
USD,42,PRIA,Flexi Berkah,,15,5672,7977,10636,13295,15954,18613,26590,39885,53180,248150
USD,42,PRIA,Flexi Cermat,15,5,17135,25703,34270,42838,51405,59973,85675,128513,171350,856750
USD,42,PRIA,Flexi Cermat,,10,9002,13503,18004,22505,27006,31507,45010,67515,90020,450100
USD,42,PRIA,Flexi Cermat,25,5,12833,19250,25666,32083,38499,44916,64165,89828,119770,598850
USD,42,PRIA,Flexi Cermat,,10,7019,9872,13162,16453,19743,23034,32905,49358,65810,307100
USD,42,PRIA,Flexi Cermat,,15,4439,6659,8324,10405,12486,14567,20810,31215,41620,194200
USD,42,PRIA,Flexi Cermat,35,5,10304,15456,20608,25760,30912,36064,51520,72128,96170,480850
USD,42,PRIA,Flexi Cermat,,10,5630,7917,10556,13195,15834,18473,26390,39585,52780,246300
USD,42,PRIA,Flexi Cermat,,15,3569,5354,7138,8365,10038,11711,16730,25095,33460,156150
IDR,42,WANITA,Flexi Amanah,YRT,1,-,5.2,6.9,8.7,10.4,12.1,17.3,26.0,34.6,173.0
IDR,42,WANITA,Flexi Amanah,5,5,-,6.0,8.0,10.0,12.0,14.0,20.0,30.0,40.0,200.0
IDR,42,WANITA,Flexi Amanah,10,10,4.7,7.1,9.4,11.8,14.2,16.5,23.6,35.4,47.2,236.0
IDR,42,WANITA,Flexi Berkah,68,5,57.2,80.5,107.3,134.2,161.0,187.8,268.3,402.5,536.6,2,504.0
IDR,42,WANITA,Flexi Berkah,,10,29.8,44.7,59.6,74.5,83.9,97.8,139.8,209.6,279.5,1,304.0
IDR,42,WANITA,Flexi Berkah,,15,23.4,35.1,46.8,58.5,70.1,76.7,109.6,164.4,219.2,1,023.0
IDR,42,WANITA,Flexi Cermat,15,5,136.8,205.3,273.7,342.1,410.5,478.9,684.2,1,026.3,1,368.4,6,842.0
IDR,42,WANITA,Flexi Cermat,,10,76.0,114.0,152.1,190.1,228.1,266.1,380.2,570.2,760.3,3,801.5
IDR,42,WANITA,Flexi Cermat,25,5,84.5,126.8,169.1,211.3,253.6,295.9,422.7,634.0,789.0,3,945.0
IDR,42,WANITA,Flexi Cermat,,10,45.9,68.8,86.0,107.5,129.0,150.5,215.0,322.5,430.0,2,006.5
IDR,42,WANITA,Flexi Cermat,,15,33.2,49.8,66.3,77.8,93.3,108.9,155.5,233.3,311.0,1,451.0
IDR,42,WANITA,Flexi Cermat,35,5,51.9,75.0,97.3,121.7,146.0,170.3,243.4,365.0,486.7,2,271.0
IDR,42,WANITA,Flexi Cermat,,10,28.5,42.8,57.0,71.3,80.2,93.5,133.6,200.4,267.2,1,247.0
IDR,42,WANITA,Flexi Cermat,,15,20.7,31.0,41.3,51.7,62.0,72.3,96.9,145.3,193.7,904.0
USD,42,WANITA,Flexi Amanah,YRT,1,-,519,692,865,1038,1211,1730,2595,3460,17300
USD,42,WANITA,Flexi Amanah,5,5,-,600,800,1000,1200,1400,2000,3000,4000,20000
USD,42,WANITA,Flexi Amanah,10,10,472,708,944,1180,1416,1652,2360,3540,4720,23600
USD,42,WANITA,Flexi Berkah,68,5,13615,20423,27230,34038,40845,47653,68075,95303,127070,635350
USD,42,WANITA,Flexi Berkah,,10,7500,10637,14182,17728,21273,24819,35455,53183,70000,330950
USD,42,WANITA,Flexi Berkah,,15,5340,7509,10012,12515,15018,17521,25030,37545,50060,233650
USD,42,WANITA,Flexi Cermat,15,5,17123,25685,34246,42808,51369,59931,85615,128423,171230,856150
USD,42,WANITA,Flexi Cermat,,10,8908,13362,17816,22270,26724,31178,44540,66810,89080,445400
USD,42,WANITA,Flexi Cermat,25,5,12440,18660,24880,31100,37320,43540,62200,87083,116110,580550
USD,42,WANITA,Flexi Cermat,,10,6873,9665,12886,16108,19329,22551,32215,48323,64430,300700
USD,42,WANITA,Flexi Cermat,,15,4368,6552,8190,10238,12285,14333,20475,30713,40950,191100
USD,42,WANITA,Flexi Cermat,35,5,9435,14153,18870,23588,28305,33023,47175,70000,88060,440300
USD,42,WANITA,Flexi Cermat,,10,4842,7263,9078,11348,13617,15887,22695,34043,45390,211800
USD,42,WANITA,Flexi Cermat,,15,3342,5013,6684,7835,9402,10969,15670,23505,31340,146250
IDR,43,PRIA,Flexi Amanah,YRT,1,5.3,8.0,10.7,13.4,16.0,18.7,26.7,40.1,53.4,267.0
IDR,43,PRIA,Flexi Amanah,5,5,6.1,9.1,12.1,15.2,18.2,21.2,30.3,45.5,60.6,303.0
IDR,43,PRIA,Flexi Amanah,10,10,6.8,10.2,13.6,17.0,20.4,23.8,34.0,50.9,67.9,339.5
IDR,43,PRIA,Flexi Berkah,67,5,68.7,96.6,128.7,160.9,193.1,225.3,321.9,482.8,643.7,3,003.5
IDR,43,PRIA,Flexi Berkah,,10,35.8,53.6,71.5,83.8,100.6,117.4,167.7,251.5,335.3,1,564.5
IDR,43,PRIA,Flexi Berkah,,15,27.7,41.6,55.4,69.3,77.9,90.9,129.9,194.8,259.7,1,212.0
IDR,43,PRIA,Flexi Cermat,15,5,145.5,218.2,290.9,363.7,436.4,509.1,727.4,1,091.0,1,454.7,7,273.5
IDR,43,PRIA,Flexi Cermat,,10,79.0,118.5,158.0,197.5,237.0,276.5,395.1,592.6,790.1,3,950.5
IDR,43,PRIA,Flexi Cermat,25,5,87.6,131.3,175.1,218.9,262.7,306.4,437.8,656.6,817.1,4,085.5
IDR,43,PRIA,Flexi Cermat,,10,49.0,73.5,91.8,114.8,137.8,160.7,229.6,344.4,459.2,2,142.5
IDR,43,PRIA,Flexi Cermat,,15,36.0,54.0,72.0,84.4,101.3,118.1,168.8,253.1,337.5,1,575.0
IDR,43,PRIA,Flexi Cermat,35,5,59.1,83.1,110.8,138.6,166.3,194.0,277.1,415.7,554.2,2,586.0
IDR,43,PRIA,Flexi Cermat,,10,31.1,46.7,62.2,75.0,87.5,102.1,145.9,218.8,291.7,1,361.0
IDR,43,PRIA,Flexi Cermat,,15,22.8,34.1,45.5,56.9,68.3,75.0,106.7,160.1,213.4,996.0
USD,43,PRIA,Flexi Amanah,YRT,1,534,801,1068,1335,1602,1869,2670,4005,5340,26700
USD,43,PRIA,Flexi Amanah,5,5,606,909,1212,1515,1818,2121,3030,4545,6060,30300
USD,43,PRIA,Flexi Amanah,10,10,679,1019,1358,1698,2037,2377,3395,5093,6790,33950
USD,43,PRIA,Flexi Berkah,67,5,14600,21900,29200,36500,43800,51100,70000,102203,136270,681350
USD,43,PRIA,Flexi Berkah,,10,7604,11406,15208,19010,22812,26614,38020,57030,70970,354850
USD,43,PRIA,Flexi Berkah,,15,5696,8010,10680,13350,16020,18690,26700,40050,53400,249200
USD,43,PRIA,Flexi Cermat,15,5,17193,25790,34386,42983,51579,60176,85965,128948,171930,859650
USD,43,PRIA,Flexi Cermat,,10,9057,13586,18114,22643,27171,31700,45285,67928,90570,452850
USD,43,PRIA,Flexi Cermat,25,5,12955,19433,25910,32388,38865,45343,64775,90683,120910,604550
USD,43,PRIA,Flexi Cermat,,10,7090,9971,13294,16618,19941,23265,33235,49853,66470,310150
USD,43,PRIA,Flexi Cermat,,15,4476,6714,8392,10490,12588,14686,20980,31470,41960,195850
USD,43,PRIA,Flexi Cermat,35,5,10519,15779,21038,26298,31557,36817,52595,73635,98180,490900
USD,43,PRIA,Flexi Cermat,,10,5749,8085,10780,13475,16170,18865,26950,40425,53900,251500
USD,43,PRIA,Flexi Cermat,,15,3647,5471,7294,8548,10257,11967,17095,25643,34190,159550
IDR,43,WANITA,Flexi Amanah,YRT,1,-,5.6,7.4,9.3,11.2,13.0,18.6,27.9,37.2,186.0
IDR,43,WANITA,Flexi Amanah,5,5,4.3,6.4,8.6,10.7,12.9,15.0,21.5,32.2,42.9,214.5
IDR,43,WANITA,Flexi Amanah,10,10,5.0,7.5,10.0,12.5,15.0,17.5,25.1,37.6,50.1,250.5
IDR,43,WANITA,Flexi Berkah,67,5,61.5,86.4,115.3,144.1,172.9,201.7,288.2,432.2,576.3,2,689.5
IDR,43,WANITA,Flexi Berkah,,10,32.0,48.0,64.0,75.1,90.1,105.1,150.1,225.2,300.2,1,400.5
IDR,43,WANITA,Flexi Berkah,,15,25.1,37.7,50.3,62.9,75.0,82.5,117.9,176.8,235.7,1,099.5
IDR,43,WANITA,Flexi Cermat,15,5,137.7,206.5,275.3,344.2,413.0,481.8,688.3,1,032.5,1,376.6,6,883.0
IDR,43,WANITA,Flexi Cermat,,10,76.7,115.1,153.4,191.8,230.1,268.5,383.6,575.3,767.1,3,835.5
IDR,43,WANITA,Flexi Cermat,25,5,84.9,127.3,169.8,212.2,254.7,297.1,424.5,636.7,792.3,3,961.5
IDR,43,WANITA,Flexi Cermat,,10,46.0,69.0,86.2,107.8,129.3,150.9,215.5,323.3,431.0,2,011.0
IDR,43,WANITA,Flexi Cermat,,15,33.3,50.0,66.7,78.2,93.8,109.4,156.3,234.5,312.6,1,459.0
IDR,43,WANITA,Flexi Cermat,35,5,52.5,75.0,98.5,123.1,147.7,172.3,246.2,369.3,492.4,2,298.0
IDR,43,WANITA,Flexi Cermat,,10,28.7,43.0,57.4,71.7,80.7,94.2,134.5,201.8,269.0,1,255.0
IDR,43,WANITA,Flexi Cermat,,15,21.0,31.5,42.0,52.5,63.0,73.5,98.5,147.7,196.9,919.0
USD,43,WANITA,Flexi Amanah,YRT,1,-,558,744,930,1116,1302,1860,2790,3720,18600
USD,43,WANITA,Flexi Amanah,5,5,429,644,858,1073,1287,1502,2145,3218,4290,21450
USD,43,WANITA,Flexi Amanah,10,10,501,752,1002,1253,1503,1754,2505,3758,5010,25050
USD,43,WANITA,Flexi Berkah,67,5,13798,20697,27596,34495,41394,48293,68990,96585,128780,643900
USD,43,WANITA,Flexi Berkah,,10,7500,10781,14374,17968,21561,25155,35935,53903,70000,335350
USD,43,WANITA,Flexi Berkah,,15,5382,7569,10092,12615,15138,17661,25230,37845,50460,235500
USD,43,WANITA,Flexi Cermat,15,5,17181,25772,34362,42953,51543,60134,85905,128858,171810,859050
USD,43,WANITA,Flexi Cermat,,10,8962,13443,17924,22405,26886,31367,44810,67215,89620,448100
USD,43,WANITA,Flexi Cermat,25,5,12539,18809,25078,31348,37617,43887,62695,87773,117030,585150
USD,43,WANITA,Flexi Cermat,,10,6928,9743,12990,16238,19485,22733,32475,48713,64950,303100
USD,43,WANITA,Flexi Cermat,,15,4391,6587,8234,10293,12351,14410,20585,30878,41170,192100
USD,43,WANITA,Flexi Cermat,35,5,9615,14423,19230,24038,28845,33653,48075,70000,89740,448700
USD,43,WANITA,Flexi Cermat,,10,4935,7403,9254,11568,13881,16195,23135,34703,46270,215900
USD,43,WANITA,Flexi Cermat,,15,3398,5097,6796,7963,9555,11148,15925,23888,31850,148650
IDR,44,PRIA,Flexi Amanah,YRT,1,5.7,8.6,11.5,14.4,17.2,20.1,28.7,43.1,57.4,287.0
IDR,44,PRIA,Flexi Amanah,5,5,6.5,9.8,13.0,16.3,19.5,22.8,32.6,48.8,65.1,325.5
IDR,44,PRIA,Flexi Amanah,10,10,7.3,10.9,14.6,18.2,21.8,25.5,36.4,54.6,72.8,364.0
IDR,44,PRIA,Flexi Berkah,66,5,73.4,103.2,137.6,172.0,206.3,240.7,343.9,515.9,687.8,3,209.5
IDR,44,PRIA,Flexi Berkah,,10,38.2,57.3,75.0,89.6,107.5,125.4,179.1,268.7,358.2,1,671.5
IDR,44,PRIA,Flexi Berkah,,15,29.6,44.4,59.2,74.0,83.3,97.1,138.8,208.1,277.5,1,295.0
IDR,44,PRIA,Flexi Cermat,15,5,146.3,219.5,292.7,365.8,439.0,512.2,731.7,1,097.5,1,463.3,7,316.5
IDR,44,PRIA,Flexi Cermat,,10,79.7,119.6,159.4,199.3,239.1,279.0,398.6,597.8,797.1,3,985.5
IDR,44,PRIA,Flexi Cermat,25,5,87.7,131.6,175.5,219.4,263.2,307.1,438.7,658.1,818.9,4,094.5
IDR,44,PRIA,Flexi Cermat,,10,49.5,74.3,92.8,116.1,139.3,162.5,232.1,348.2,464.2,2,166.0
IDR,44,PRIA,Flexi Cermat,,15,36.6,54.9,73.2,85.8,102.9,120.1,171.6,257.3,343.1,1,601.5
IDR,44,PRIA,Flexi Cermat,35,5,60.3,84.8,113.0,141.3,169.5,197.8,282.6,423.8,565.1,2,637.5
IDR,44,PRIA,Flexi Cermat,,10,31.8,47.6,63.5,75.0,89.3,104.2,148.9,223.4,297.8,1,389.5
IDR,44,PRIA,Flexi Cermat,,15,23.3,35.0,46.6,58.3,70.0,76.5,109.3,164.0,218.6,1,020.5
USD,44,PRIA,Flexi Amanah,YRT,1,574,861,1148,1435,1722,2009,2870,4305,5740,28700
USD,44,PRIA,Flexi Amanah,5,5,651,977,1302,1628,1953,2279,3255,4883,6510,32550
USD,44,PRIA,Flexi Amanah,10,10,728,1092,1456,1820,2184,2548,3640,5460,7280,36400
USD,44,PRIA,Flexi Berkah,66,5,14742,22113,29484,36855,44226,51597,70000,103193,137590,687950
USD,44,PRIA,Flexi Berkah,,10,7678,11517,15356,19195,23034,26873,38390,57585,71660,358300
USD,44,PRIA,Flexi Berkah,,15,5720,8045,10726,13408,16089,18771,26815,40223,53630,250250
USD,44,PRIA,Flexi Cermat,15,5,17251,25877,34502,43128,51753,60379,86255,129383,172510,862550
USD,44,PRIA,Flexi Cermat,,10,9111,13667,18222,22778,27333,31889,45555,68333,91110,455550
USD,44,PRIA,Flexi Cermat,25,5,13077,19616,26154,32693,39231,45770,65385,91538,122050,610250
USD,44,PRIA,Flexi Cermat,,10,7160,10070,13426,16783,20139,23496,33565,50348,67130,313250
USD,44,PRIA,Flexi Cermat,,15,4512,6768,8460,10575,12690,14805,21150,31725,42300,197400
USD,44,PRIA,Flexi Cermat,35,5,10735,16103,21470,26838,32205,37573,53675,75143,100190,500950
USD,44,PRIA,Flexi Cermat,,10,5867,8252,11002,13753,16503,19254,27505,41258,55010,256700
USD,44,PRIA,Flexi Cermat,,15,3726,5589,7452,8733,10479,12226,17465,26198,34930,163000
IDR,44,WANITA,Flexi Amanah,YRT,1,-,6.0,8.0,10.0,11.9,13.9,19.9,29.9,39.8,199.0
IDR,44,WANITA,Flexi Amanah,5,5,4.6,6.9,9.2,11.5,13.7,16.0,22.9,34.4,45.8,229.0
IDR,44,WANITA,Flexi Amanah,10,10,5.3,8.0,10.6,13.3,15.9,18.6,26.5,39.8,53.0,265.0
IDR,44,WANITA,Flexi Berkah,66,5,65.7,92.4,123.2,154.0,184.8,215.6,308.1,462.1,616.1,2,875.5
IDR,44,WANITA,Flexi Berkah,,10,34.2,51.3,68.5,80.2,96.3,112.3,160.5,240.7,320.9,1,497.5
IDR,44,WANITA,Flexi Berkah,,15,26.9,40.3,53.8,67.2,75.6,88.2,126.1,189.1,252.1,1,176.5
IDR,44,WANITA,Flexi Cermat,15,5,138.5,207.7,277.0,346.2,415.4,484.7,692.4,1,038.6,1,384.8,6,924.0
IDR,44,WANITA,Flexi Cermat,,10,77.4,116.1,154.8,193.5,232.2,270.9,387.0,580.4,773.9,3,869.5
IDR,44,WANITA,Flexi Cermat,25,5,85.3,127.9,170.5,213.1,255.8,298.4,426.3,639.4,795.7,3,978.5
IDR,44,WANITA,Flexi Cermat,,10,46.1,69.1,86.4,108.0,129.6,151.2,216.0,323.9,431.9,2,015.5
IDR,44,WANITA,Flexi Cermat,,15,33.5,50.3,67.0,78.6,94.3,110.0,157.2,235.7,314.3,1,466.5
IDR,44,WANITA,Flexi Cermat,35,5,53.1,75.0,99.6,124.5,149.4,174.3,249.1,373.6,498.1,2,324.5
IDR,44,WANITA,Flexi Cermat,,10,28.9,43.3,57.8,72.2,81.2,94.8,135.4,203.1,270.8,1,263.5
IDR,44,WANITA,Flexi Cermat,,15,21.3,32.0,42.7,53.4,64.0,74.7,100.0,150.0,200.0,933.5
USD,44,WANITA,Flexi Amanah,YRT,1,-,597,796,995,1194,1393,1990,2985,3980,19900
USD,44,WANITA,Flexi Amanah,5,5,458,687,916,1145,1374,1603,2290,3435,4580,22900
USD,44,WANITA,Flexi Amanah,10,10,530,795,1060,1325,1590,1855,2650,3975,5300,26500
USD,44,WANITA,Flexi Berkah,66,5,13982,20973,27964,34955,41946,48937,69910,97868,130490,652450
USD,44,WANITA,Flexi Berkah,,10,7500,10923,14564,18205,21846,25487,36410,54615,70000,339800
USD,44,WANITA,Flexi Berkah,,15,5425,7629,10172,12715,15258,17801,25430,38145,50860,237350
USD,44,WANITA,Flexi Cermat,15,5,17240,25860,34480,43100,51720,60340,86200,129300,172400,862000
USD,44,WANITA,Flexi Cermat,,10,9016,13524,18032,22540,27048,31556,45080,67620,90160,450800
USD,44,WANITA,Flexi Cermat,25,5,12638,18957,25276,31595,37914,44233,63190,88463,117950,589750
USD,44,WANITA,Flexi Cermat,,10,6983,9821,13094,16368,19641,22915,32735,49103,65470,305500
USD,44,WANITA,Flexi Cermat,,15,4414,6621,8278,10348,12417,14487,20695,31043,41390,193150
USD,44,WANITA,Flexi Cermat,35,5,9796,14694,19592,24490,29388,34286,48980,70000,91430,457150
USD,44,WANITA,Flexi Cermat,,10,5364,7544,10058,12573,15087,17602,25145,37718,50290,234700
USD,44,WANITA,Flexi Cermat,,15,3454,5181,6908,8095,9714,11333,16190,24285,32380,151100
IDR,45,PRIA,Flexi Amanah,YRT,1,6.2,9.2,12.3,15.4,18.5,21.5,30.8,46.1,61.5,307.5
IDR,45,PRIA,Flexi Amanah,5,5,7.0,10.5,13.9,17.4,20.9,24.4,34.9,52.3,69.7,348.5
IDR,45,PRIA,Flexi Amanah,10,10,7.8,11.7,15.5,19.4,23.3,27.2,38.9,58.3,77.7,388.5
IDR,45,PRIA,Flexi Berkah,65,5,78.1,117.1,156.1,195.2,234.2,273.2,390.3,585.5,728.6,3,643.0
IDR,45,PRIA,Flexi Berkah,,10,40.7,61.0,76.2,95.3,114.4,133.4,190.6,285.9,381.2,1,778.5
IDR,45,PRIA,Flexi Berkah,,15,31.5,47.2,63.0,75.0,88.6,103.3,147.6,221.4,295.2,1,377.5
IDR,45,PRIA,Flexi Cermat,15,5,147.2,220.8,294.4,368.0,441.6,515.2,736.0,1,104.0,1,472.0,7,360.0
IDR,45,PRIA,Flexi Cermat,,10,80.4,120.6,160.8,201.0,241.2,281.4,402.1,603.1,804.1,4,020.5
IDR,45,PRIA,Flexi Cermat,25,5,87.9,131.9,175.8,219.8,263.8,307.7,439.6,659.4,820.6,4,103.0
IDR,45,PRIA,Flexi Cermat,,10,50.1,75.0,93.8,117.3,140.8,164.2,234.6,351.9,469.2,2,189.5
IDR,45,PRIA,Flexi Cermat,,15,37.2,55.8,74.4,87.2,104.6,122.0,174.4,261.5,348.7,1,627.0
IDR,45,PRIA,Flexi Cermat,35,5,61.5,86.4,115.2,144.0,172.8,201.6,288.1,432.1,576.1,2,688.5
IDR,45,PRIA,Flexi Cermat,,10,32.4,48.6,64.8,76.0,91.1,106.3,151.9,227.9,303.8,1,417.5
IDR,45,PRIA,Flexi Cermat,,15,23.9,35.8,47.8,59.7,71.7,78.4,112.0,168.0,224.0,1,045.0
USD,45,PRIA,Flexi Amanah,YRT,1,615,923,1230,1538,1845,2153,3075,4613,6150,30750
USD,45,PRIA,Flexi Amanah,5,5,697,1046,1394,1743,2091,2440,3485,5228,6970,34850
USD,45,PRIA,Flexi Amanah,10,10,777,1166,1554,1943,2331,2720,3885,5828,7770,38850
USD,45,PRIA,Flexi Berkah,65,5,14884,22326,29768,37210,44652,52094,70000,104190,138920,694600
USD,45,PRIA,Flexi Berkah,,10,7752,11628,15504,19380,23256,27132,38760,58140,72350,361750
USD,45,PRIA,Flexi Berkah,,15,5744,8078,10770,13463,16155,18848,26925,40388,53850,251300
USD,45,PRIA,Flexi Cermat,15,5,17309,25964,34618,43273,51927,60582,86545,129818,173090,865450
USD,45,PRIA,Flexi Cermat,,10,9166,13749,18332,22915,27498,32081,45830,68745,91660,458300
USD,45,PRIA,Flexi Cermat,25,5,13199,19799,26398,32998,39597,46197,65995,92393,123190,615950
USD,45,PRIA,Flexi Cermat,,10,7230,10169,13558,16948,20337,23727,33895,50843,67790,316350
USD,45,PRIA,Flexi Cermat,,15,4549,6824,8530,10663,12795,14928,21325,31988,42650,199000
USD,45,PRIA,Flexi Cermat,35,5,10951,16427,21902,27378,32853,38329,54755,76658,102210,511050
USD,45,PRIA,Flexi Cermat,,10,5986,8418,11224,14030,16836,19642,28060,42090,56120,261900
USD,45,PRIA,Flexi Cermat,,15,3804,5706,7500,8915,10698,12481,17830,26745,35660,166450
IDR,45,WANITA,Flexi Amanah,YRT,1,4.2,6.3,8.5,10.6,12.7,14.8,21.2,31.7,42.3,211.5
IDR,45,WANITA,Flexi Amanah,5,5,4.9,7.3,9.7,12.2,14.6,17.0,24.3,36.5,48.6,243.0
IDR,45,WANITA,Flexi Amanah,10,10,5.6,8.4,11.2,14.0,16.8,19.6,28.0,41.9,55.9,279.5
IDR,45,WANITA,Flexi Berkah,65,5,70.0,98.4,131.2,164.0,196.8,229.6,328.0,491.9,655.9,3,061.0
IDR,45,WANITA,Flexi Berkah,,10,36.4,54.7,72.9,85.4,102.5,119.6,170.8,256.2,341.6,1,594.5
IDR,45,WANITA,Flexi Berkah,,15,28.6,42.9,57.3,71.6,80.5,93.9,134.2,201.3,268.4,1,252.5
IDR,45,WANITA,Flexi Cermat,15,5,139.3,209.0,278.6,348.3,417.9,487.6,696.5,1,044.8,1,393.0,6,965.0
IDR,45,WANITA,Flexi Cermat,,10,78.1,117.1,156.1,195.2,234.2,273.2,390.3,585.5,780.6,3,903.0
IDR,45,WANITA,Flexi Cermat,25,5,85.6,128.4,171.2,214.0,256.8,299.6,428.1,642.1,799.1,3,995.5
IDR,45,WANITA,Flexi Cermat,,10,46.2,69.3,86.6,108.2,129.8,151.5,216.4,324.6,432.8,2,020.0
IDR,45,WANITA,Flexi Cermat,,15,33.7,50.5,67.4,79.0,94.7,110.5,157.9,236.9,315.8,1,474.0
IDR,45,WANITA,Flexi Cermat,35,5,53.7,75.6,100.8,126.0,151.1,176.3,251.9,377.9,503.8,2,351.0
IDR,45,WANITA,Flexi Cermat,,10,29.1,43.6,58.1,72.7,81.8,95.4,136.3,204.4,272.5,1,271.5
IDR,45,WANITA,Flexi Cermat,,15,21.7,32.5,43.3,54.2,65.0,75.0,101.6,152.3,203.1,948.0
USD,45,WANITA,Flexi Amanah,YRT,1,423,635,846,1058,1269,1481,2115,3173,4230,21150
USD,45,WANITA,Flexi Amanah,5,5,486,729,972,1215,1458,1701,2430,3645,4860,24300
USD,45,WANITA,Flexi Amanah,10,10,559,839,1118,1398,1677,1957,2795,4193,5590,27950
USD,45,WANITA,Flexi Berkah,65,5,14165,21248,28330,35413,42495,49578,70000,99158,132210,661050
USD,45,WANITA,Flexi Berkah,,10,7500,11067,14756,18445,22134,25823,36890,55335,70000,344300
